year,receipts,country,tax,treatment ,index
2015,90190,Scotland ,LBTT-STAMP,1,101.42
2016,114280,Scotland ,LBTT-STAMP,1,102.8
2017,118240,Scotland ,LBTT-STAMP,1,105.8
2018,117780,Scotland ,LBTT-STAMP,1,110.4
2019,121990,Scotland ,LBTT-STAMP,1,112.4
2020,101770,Scotland ,LBTT-STAMP,1,115.6
2021,131450,Scotland ,LBTT-STAMP,1,127.3
2006,"8,730",England ,LBTT-STAMP,0,85.9
2007,"8,895",England ,LBTT-STAMP,0,93.6
2008,"4,285",England ,LBTT-STAMP,0,89.9
2009,"4,495",England ,LBTT-STAMP,0,82
2010,"5,475",England ,LBTT-STAMP,0,87.4
2011,"5,700",England ,LBTT-STAMP,0,86.3
2012,"6,485",England ,LBTT-STAMP,0,87.4
2013,"8,700",England ,LBTT-STAMP,0,90
2014,"10,035",England ,LBTT-STAMP,0,97.4
2015,"10,470",England ,LBTT-STAMP,0,104
2016,"11,485",England ,LBTT-STAMP,0,112
2017,"12,565",England ,LBTT-STAMP,0,117
2018,"11,850",England ,LBTT-STAMP,0,120
2019,NA,England ,LBTT-STAMP,0,121
2020,NA,England ,LBTT-STAMP,0,124
2021,NA,England ,LBTT-STAMP,0,135
2006,430,Scotland ,LBTT-STAMP,1,88.5
2007,570,Scotland ,LBTT-STAMP,1,101.5
2008,325,Scotland ,LBTT-STAMP,1,101.2
2009,250,Scotland ,LBTT-STAMP,1,96.2
2010,330,Scotland ,LBTT-STAMP,1,97.7
2011,275,Scotland ,LBTT-STAMP,1,96
2012,285,Scotland ,LBTT-STAMP,1,92.8
2013,390,Scotland ,LBTT-STAMP,1,93.1
2014,480,Scotland ,LBTT-STAMP,1,97.5
